"file_name","Time","Character","Type.of.Roll","Total.Value","Natural.Value","Crit.","Damage","X..Kills","Notes","roll"
"4","1:30:35","Scanlan","Stealth","30","18",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Tiberius","Stealth","20","7",NA,NA,NA,"With Pass Without a Trace",1
"4","1:30:35","Vax'ildan","Stealth","28","5",NA,NA,NA,"With Pass Without a Trace",1
"4","1:34:00","Vax'ildan","Acrobatics","18","5",NA,NA,NA,NA,1
"4","1:36:40","Scanlan","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"4","1:36:40","Scanlan","Stealth","13","11",NA,NA,NA,"With advantage",1
"4","1:36:40","Vax'ildan","Stealth","28","15",NA,NA,NA,NA,1
"4","1:40:05","Vax'ildan","Dexterity","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"4","1:40:05","Vax'ildan","Dexterity","17","12",NA,NA,NA,"With advantage",1
"4","1:41:00","Vax'ildan","Attack","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"4","1:41:00","Vax'ildan","Attack","26","15","Y",NA,NA,"Dagger with advantage",1
"4","1:42:00","Vax'ildan","Damage","Unknown",NA,NA,"52 to Duergar Guard",NA,NA,1
"4","1:43:20","Vax'ildan","Perception","28","18",NA,NA,NA,NA,1
"4","1:43:20","Scanlan","Perception","9","9",NA,NA,NA,NA,1
"4","1:44:24","Scanlan","Stealth","Unknown","Unknown",NA,NA,NA,NA,1
"4","1:44:24","Scanlan","Stealth","19","17",NA,NA,NA,NA,1
