"word","n"
"gotta",205
"underground",205
"vanishes",205
"bigger",204
"dash",204
"meant",204
"ravine",204
"scales",204
"awful",203
"difficult",203
"enchantment",203
"grasp",203
"pour",203
"talked",203
"age",202
"dude",202
"fought",202
"kvarn",202
"normally",202
"ocean",202
"robe",202
"uriel",202
"vine",202
"zahra",202
"answer",201
"brass",201
"breakfast",201
"dungeons",201
"eating",201
"gray",201
"map",201
"portal",201
"whether",201
"dive",200
"palace",200
"previous",200
"seemed",200
"son",200
"target",200
"upper",200
"deck",199
"fog",199
"object",199
"secret",199
"section",199
"thursday",199
"height",198
"older",198
"arc",197
"bridge",197
"crystal",197
"ears",197
"favorite",197
"occasionally",197
"offer",197
"carrying",196
"lucky",196
"notes",196
"prison",196
"pushes",196
"robes",196
"thin",196
"apart",195
"duck",195
"glances",195
"orc",195
"roughly",195
"somewhat",195
"twins",195
"jarett",194
"jeez",194
"leans",194
"sets",194
"ride",193
"clasp",192
"entities",192
"fallen",192
"ioun",192
"mass",192
"spot",192
"areas",191
"charisma",191
"delilah",191
"district",191
"forever",191
"grit",191
"moments",191
"month",191
"named",191
"nervous",191
"passes",191
"tea",191
"thousand",191
"games",190
"handle",190
"kraken",190
"suffer",190
"trade",190
"ziggurat",190
"arcana",189
"talks",189
"geek",188
"raging",188
"cutting",187
"darling",187
"enjoy",187
"haste",187
"hundreds",187
"member",187
"relatively",187
"army",186
"fireball",186
"placed",186
"stab",186
"surrounding",186
"walked",186
"clutching",185
"fix",185
"lasts",185
"returning",185
"wandering",185
"avoid",184
"cone",184
"key",184
"mountains",184
"beach",183
"dart",183
"drinking",183
"druid",183
"leading",183
"research",183
"shove",183
"dimension",182
"dog",182
"maintain",182
"paper",182
"period",182
"plate",182
"tear",182
"y",182
"downstairs",181
"promise",181
"seriously",181
"33",180
"bet",180
"breathing",180
"chicken",180
"details",180
"honestly",180
"materials",180
"scrying",180
"shop",180
"discovered",179
"drunk",179
"favor",179
"frozen",179
"guild",179
"present",179
"ran",179
"deception",178
"gosh",178
"meeting",178
"child",177
"decided",177
"edges",177
"filled",177
"finishes",177
"fully",177
"heavily",177
"names",177
"silver",177
"breaks",176
"common",176
"donated",176
"faces",176
"failed",176
"immediate",176
"jmon",176
"lived",176
"sleeping",176
"thrown",176
"woods",176
"34",175
"comfortable",175
"picked",175
"pocket",175
"serious",175
"sheer",175
"gem",174
"necessarily",174
"streets",174
"bursts",173
"everyones",173
"female",173
"fresh",173
"giveaway",173
"realm",173
"split",173
"stonework",173
"sundry",173
"versus",173
"lying",172
"proud",172
"um",172
"wherever",172
"danger",171
"gnomes",171
"hearing",171
"interested",171
"loose",171
"track",171
"turning",171
"’m",170
"aim",170
"breaking",170
"closes",170
"corpse",170
"math",170
"watched",170
"animal",169
"asshole",169
"bird",169
"exterior",169
"fades",169
"personal",169
"shooting",169
"absolutely",168
"began",168
"cleric",168
"dungeon",168
"everywhere",168
"guide",168
"monster",168
"nearly",168
"characters",167
"cross",167
"fairly",167
"lots",167
"mention",167
"tongue",167
"bye",166
"gift",166
"hall",166
"led",166
"leg",166
"miles",166
"style",166
"sylas",166
"weight",166
"2",165
"captain",165
"drag",165
"intense",165
"noticed",165
"scared",165
"syngorn",165
"art",164
"chin",164
"fiend",164
"figures",164
"kash",164
"silence",164
"situation",164
"stuck",164
"whenever",164
"’re",163
"ankharel",163
"born",163
"contact",163
"curse",163
"exit",163
"growing",163
"hmm",163
"kitchen",163
"signed",163
"crew",162
"language",162
"lay",162
"meal",162
"picking",162
"picture",162
"stream",162
"becomes",161
"busy",161
"climbing",161
"daxio",161
"dwarves",161
"field",161
"illusion",161
"item",161
"manages",161
"skeletons",161
"spread",161
"succeed",161
"windows",161
"concentrate",160
"encountered",160
"including",160
"library",160
"noise",160
"soft",160
"comic",159
"deeper",159
"dressed",159
"hop",159
"invisibility",159
"muscles",159
"restrained",159
"shifts",159
"success",159
"win",159
"awkward",158
"barrel",158
"chaos",158
"crowd",158
"existence",158
"interest",158
"lie",158
"mask",158
"somehow",158
"streaks",158
"animals",157
"campaign",157
"cow",157
"grasping",157
"multiple",157
"angrily",156
"consider",156
"gentleman",156
"gilmores",156
"helped",156
"hunt",156
"memory",156
"plant",156
"servants",156
"shout",156
"cost",155
"letting",155
"search",155
"upstairs",155
"vanish",155
"wilhand",155
"devil",154
"forms",154
"grass",154
"issue",154
"poor",154
"rise",154
"seek",154
"training",154
"wrap",154
"dropped",153
"elves",153
"passing",153
"rubble",153
"rules",153
"smooth",153
"wondering",153
"writing",153
"36",152
"abilities",152
"brown",152
"dried",152
"escape",152
"fails",152
"generally",152
"knee",152
"metallic",152
"polymorph",152
"trapped",152
"attacked",151
"band",151
"bottle",151
"closest",151
"fellow",151
"immune",151
"rushes",151
"shadows",151
"tracks",151
"winner",151
"design",150
"paying",150
"bears",149
"creepy",149
"ladies",149
"mission",149
"nod",149
"page",149
"pleasure",149
"scroll",149
"whoever",149
"opposed",148
"peek",148
"quest",148
"beholder",147
"conclave",147
"em",147
"flaming",147
"forge",147
"fort",147
"honor",147
"hungry",147
"mace",147
"rain",147
"rakshasa",147
"ruin",147
"sad",147
"shifting",147
"stealthy",147
"successes",147
"worried",147
"difference",146
"drops",146
"fan",146
"keen",146
"kidding",146
"screaming",146
"trip",146
"truth",146
"vampire",146
"although",145
"code",145
"decide",145
"grand",145
"resting",145
"tired",145
"alley",144
"everythings",144
"guiding",144
"intent",144
"massive",144
"ow",144
"protection",144
"unable",144
"underwater",144
"angle",143
"bones",143
"club",143
"community",143
"drawn",143
"drinks",143
"greyskull",143
"helmet",143
"hex",143
"knees",143
"mile",143
"sending",143
"’ll",142
"arrived",142
"aye",142
"desk",142
"earring",142
"gently",142
"mid",142
"played",142
"remains",142
"wonder",142
"dream",141
"due",141
"facing",141
"nasty",141
"pillars",141
"rolo",141
"shitty",141
"umbrasyl",141
"allow",140
"alter",140
"carefully",140
"challenge",140
"encounter",140
"entirety",140
"faster",140
"letter",140
"lights",140
"mess",140
"nights",140
"perspective",140
"pillar",140
"preparing",140
"staircase",140
"torn",140
"tries",140
"exist",139
"kiss",139
"passage",139
"rid",139
"separate",139
"share",139
"asleep",138
"beam",138
"grey",138
"helpful",138
"lifts",138
"recent",138
"shorthalt",138
"wise",138
"devils",137
"excuse",137
"horse",137
"mud",137
"otherwise",137
"setting",137
"smells",137
"trouble",137
"construction",136
"fortress",136
"functional",136
"kimas",136
"ray",136
"shouting",136
"useful",136
"yell",136
"150",135
"attached",135
"channel",135
"charity",135
"darkvision",135
"dispel",135
"glasses",135
"reaching",135
"seeming",135
"suck",135
"tears",135
"twitter",135
"video",135
"affect",134
"cell",134
"changed",134
"image",134
"incredible",134
"resist",134
"suppose",134
"tie",134
"adventure",133
"blind",133
"discuss",133
"figured",133
"grin",133
"inward",133
"listening",133
"raise",133
"religion",133
"showing",133
"surge",133
"tentacles",133
"vestiges",133
"wave",133
"weekend",133
"birthday",132
"butt",132
"goddamn",132
"ripley",132
"wrote",132
"beasts",131
"breathe",131
"briefly",131
"curl",131
"portions",131
"snap",131
"tent",131
"written",131
"wyrmwood",131
"continent",130
"guests",130
"health",130
"ish",130
"kaylie",130
"muscle",130
"purposes",130
"shapes",130
"spider",130
"statue",130
"tables",130
"title",130
"uncomfortable",130
"beacon",129
"blown",129
"consciousness",129
"cracks",129
"cute",129
"disappears",129
"kid",129
"rogue",129
"several",129
"stories",129
"act",128
"afternoon",128
"airship",128
"artifacts",128
"click",128
"easily",128
"golden",128
"reload",128
"restoration",128
"scary",128
"sick",128
"survive",128
"tip",128
"west",128
"blades",127
"con",127
"dr",127
"eggs",127
"expensive",127
"grabbing",127
"halfling",127
"kashaw",127
"lit",127
"mentioned",127
"pelor",127
"puzzle",127
"ridiculous",127
"s",127
"school",127
"state",127
"swim",127
"vines",127
"bars",126
"bleeding",126
"cage",126
"conscious",126
"dawn",126
"dull",126
"faith",126
"forces",126
"gems",126
"hasted",126
"impressive",126
"mad",126
"require",126
"sell",126
"sized",126
"vampires",126
"via",126
"5th",125
"collapsed",125
"sake",125
"smash",125
"thankfully",125
"ally",124
"bullshit",124
"egg",124
"kit",124
"landscape",124
"marked",124
"necessary",124
"orange",124
"pants",124
"raised",124
"ranged",124
"ruined",124
"shakes",124
"sorts",124
"announcement",123
"arcs",123
"burns",123
"congratulations",123
"ending",123
"internet",123
"landing",123
"likes",123
"recommend",123
"saves",123
"shark",123
"slide",123
"teleport",123
"vaxs",123
"assuming",122
"badass",122
"blessing",122
"darrington",122
"discussion",122
"halfway",122
"handed",122
"message",122
"stronger",122
"throne",122
"titan",122
"whip",122
"wing",122
"wolf",122
"aramente",121
"bamf",121
"bloody",121
"causing",121
"created",121
"crossbow",121
"dinner",121
"distraction",121
"expect",121
"finished",121
"fish",121
"lake",121
"lizard",121
"nowhere",121
"proficiency",121
"roots",121
"service",121
"wand",121
"wander",121
"200",120
"38",120
"awake",120
"guest",120
"inches",120
"inspect",120
"locate",120
"rat",120
"stomach",120
"vaxildan",120
"voices",120
"daylight",119
"emerge",119
"fourth",119
"originally",119
"paid",119
"seal",119
"abandoned",118
"apologize",118
"connection",118
"cows",118
"damaged",118
"dragging",118
"echoing",118
"forehead",118
"gaze",118
"learning",118
"motion",118
"oil",118
"shaking",118
"theory",118
"tribe",118
"allowed",117
"d8",117
"expecting",117
"helps",117
"inch",117
"lean",117
"marquet",117
"mines",117
"realized",117
"tense",117
"trial",117
"500",116
"chair",116
"critters",116
"endless",116
"entered",116
"folk",116
"foremost",116
"involved",116
"laughing",116
"picks",116
"plans",116
"scream",116
"secondary",116
"session",116
"stopped",116
"superior",116
"touched",116
"uses",116
"willing",116
"yellow",116
"120",115
"7",115
"disappear",115
"excellent",115
"failure",115
"marvel",115
"pale",115
"potentially",115
"pounds",115
"rod",115
"stepped",115
"structures",115
"taste",115
"anger",114
"criticalrole",114
"depending",114
"flow",114
"garmelie",114
"hells",114
"joining",114
"pattern",114
"row",114
"sheet",114
"soldiers",114
"sponsor",114
"stairway",114
"steal",114
"tension",114
"tumble",114
"whispers",114
"yenk",114
"access",113
"gentle",113
"guns",113
"hail",113
"jam",113
"leaps",113
"pace",113
"stage",113
"300",112
"calm",112
"colors",112
"crawl",112
"daughter",112
"diamond",112
"random",112
"sucks",112
"temporary",112
"women",112
"actors",111
"alleyway",111
"canopy",111
"cart",111
"downward",111
"fills",111
"gain",111
"goliaths",111
"handful",111
"jagged",111
"jb",111
"lies",111
"outward",111
"plants",111
"powder",111
"singular",111
"tearing",111
"tools",111
"weak",111
"45",110
"bats",110
"company",110
"conjure",110
"decent",110
"distracted",110
"naked",110
"seeker",110
"skills",110
"strongjaw",110
"toss",110
"waste",110
"barbarian",109
"barrier",109
"bay",109
"charges",109
"cities",109
"coast",109
"complicated",109
"dig",109
"finds",109
"marks",109
"mirror",109
"nah",109
"price",109
"scent",109
"slap",109
"strangely",109
"survival",109
"uncanny",109
"vengeance",109
"workshop",109
"2d8",108
"3",108
"basic",108
"chained",108
"column",108
"dad",108
"explosion",108
"finishing",108
"glorious",108
"jumping",108
"mage",108
"nerdy",108
"ogden",108
"purchase",108
"reroll",108
"spear",108
"tentacle",108
"threw",108
"website",108
"70",107
"80",107
